accver	taxid	isolate	host	genotype	country	isolation_source	collection_date	strain	serotype	group	old_name	type	collected_by	gb_acronym	note	lab_host	subtype1	acronym	note.1	NA.	clone	map	cell_line	lat_lon	segment	identified_by	culture_collection	serogroup	subgroup	tissue_lib	tissue_type	acronym.1	variety
AP012302.1	1101371	NA	NA	NA	NA	NA	NA	BGD/2005/B109/[P67/H9/F67]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DQ149630.1	46934	NA	NA	NA	NA	NA	NA	NA	33	NA	Human adenovirus type 33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JN226752.1	46927	NA	Homo sapiens	NA	USA	NA	1955-12-31	NA	NA	NA	NA	NA	NA	NA	belongs to Human adenovirus species D type: 25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DQ149623.1	46927	NA	NA	NA	NA	NA	NA	NA	25	NA	Human adenovirus type 25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KF268208.1	130310	NA	Homo sapiens	HAdV-D91	Germany	NA	NA	human/DEU/HEIM_00093/X/91[P37H37F17]	37	NA	Human adenovirus D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KF268203.1	130310	NA	Homo sapiens	37[P37H37F37]	USA	NA	NA	human/USA/MEEI_00074/X/37[P37H37F37]	NA	NA	Human adenovirus D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KF268122.1	130310	NA	Homo sapiens	D	USA: Pittsburgh, Pennsylvania	NA	1988-12-31	human/USA/CL_47/1989/37[P37/H37/F37]	10,19	NA	Human adenovirus D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KC529648.1	46938	NA	Homo sapiens	NA	USA	NA	1980-12-31	1309	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	D	NA	NA	NA	NA
JN226762.1	46938	NA	Homo sapiens	NA	USA	NA	1980-12-31	NA	NA	NA	NA	NA	NA	NA	belongs to Human adenovirus species D type: 43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB500122.1	52275	sapporo/1998	NA	NA	NA	NA	NA	NA	37	NA	Human adenovirus 37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB475143.1	52275	sapporoA/2003	NA	NA	NA	NA	NA	NA	37	NA	Human adenovirus 37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB448777.1	52275	1996	NA	NA	NA	NA	NA	NA	37	NA	Human adenovirus 37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB448776.1	52275	1991	NA	NA	NA	NA	NA	NA	37	NA	Human adenovirus 37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB448775.1	52275	GW	NA	NA	NA	NA	NA	NA	37	NA	Human adenovirus 37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
