accver	taxid	isolate	host	genotype	country	isolation_source	collection_date	strain	serotype	group	old_name	type	collected_by	gb_acronym	note	lab_host	subtype1	acronym	note.1	NA.	clone	map	cell_line	lat_lon	segment	identified_by	culture_collection	serogroup	subgroup	tissue_lib	tissue_type	acronym.1	variety
KP723154.1	28280	XA1303	Homo sapiens	NA	China	NA	2013-09-15	NA	NA	NA	Human adenovirus 4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KP723152.1	28280	XA0907	Homo sapiens	NA	China	NA	2009-08-27	NA	NA	NA	Human adenovirus 4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KM458629.1	28280	NA	NA	NA	China	Hep-2 cell	2012-12-31	BJ14	HAdV-4	NA	Human adenovirus type 4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KF006344.1	28280	NA	Homo sapiens	NA	China: Guangzhou	pharynx swab from a child with ARD	2008-05-31	GZ01	4	E	human adenovirus type 4	NA	Haitao Li	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AY599837.1	28280	NA	NA	NA	USA: Lackland Air Force Base	NA	NA	NHRC 3	4	NA	Human adenovirus type 4	NA	NA	NA	US Air Force field strain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AY337252.1	28280	65.4185.AV4.V.FLW.97	NA	NA	NA	NA	NA	NA	NA	NA	Human adenovirus type 4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AY337251.1	28280	56.50108.AV4.LACK.00	NA	NA	NA	NA	NA	NA	NA	NA	Human adenovirus type 4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AY337250.1	28280	13.20142.AV4.MCRD.98	NA	NA	NA	NA	NA	NA	NA	NA	Human adenovirus type 4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AY337249.1	28280	46.4476.AV4.V.FLW.97	NA	NA	NA	NA	NA	NA	NA	NA	Human adenovirus type 4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AY337248.1	28280	51.20044.AV4.MCRD.98	NA	NA	NA	NA	NA	NA	NA	NA	Human adenovirus type 4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AY337247.1	28280	37.60716.AV4.FB.00	NA	NA	NA	NA	NA	NA	NA	NA	Human adenovirus type 4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AY337246.1	28280	35.60697.AV4.FB.00	NA	NA	NA	NA	NA	NA	NA	NA	Human adenovirus type 4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AY337243.1	28280	14.10756.AV4.GL.00	NA	NA	NA	NA	NA	NA	NA	NA	Human adenovirus type 4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AY337242.1	28280	45.7333.AV4.V.FJ.98	NA	NA	NA	NA	NA	NA	NA	NA	Human adenovirus type 4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AY337241.1	28280	11.40098.AV4.FJ.98	NA	NA	NA	NA	NA	NA	NA	NA	Human adenovirus type 4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AY337240.1	28280	10.10213.AV4.GL.98	NA	NA	NA	NA	NA	NA	NA	NA	Human adenovirus type 4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AY337238.1	28280	26.40781.AV4.FJ.99	NA	NA	NA	NA	NA	NA	NA	NA	Human adenovirus type 4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AY337237.1	28280	23.40844.AV4.FJ.99	NA	NA	NA	NA	NA	NA	NA	NA	Human adenovirus type 4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AF065064.3	28280	Human adenovirus type 4 variant	NA	NA	NA	NA	NA	Z-G T95-873	NA	NA	Human adenovirus type 4	NA	NA	NA	recently discovered variant of Human adenovirus type 4 neutralized at less than four-fold of the prototype	NA	NA	NA	NA	NA	NA	0.51-0.60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KY704350.1	45659	CU_B20014	Homo sapiens	B3	Thailand	nasopharyngeal aspirate	2015-12-31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KC510736.1	10519	BJ2011_1-23	Homo sapiens	NA	China	throat swab	2010-12-31	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KX868498.2	28280	GyK225	Homo sapiens	NA	Sweden	NA	1999-12-31	NA	NA	NA	human adenovirus 4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP014845.1	35263	NA	Homo sapiens	NA	USA	NA	2008-12-31	NHRC-92165	NA	NA	NA	NA	NA	NA	synonym: Human adenovirus type 4a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KY704426.1	45659	CU-C6576a	Homo sapiens	B3	Thailand	nasopharyngeal aspirate	2015-12-31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KY704358.1	10533	CU-B14999	Homo sapiens	C1	Thailand	nasopharyngeal aspirate	2015-12-31	NA	NA	NA	Human adenovirus C1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KY996453.1	130308	NA	Homo sapiens	NA	USA	NA	2010-12-31	HAdVE/USA_Connecticut/TB071911/2011/P4H4F4	4	NA	Human adenovirus E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KY996450.1	130308	NA	Homo sapiens	NA	USA: New York	NA	2012-04-25	HAdV-E/USA/12752/2012/P4H4F4	4	NA	Human adenovirus E	NA	NA	NA	HAdV 4a2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KY996448.1	130308	NA	Homo sapiens	NA	USA: New York	NA	2014-02-09	HAdV-E/USA/4876/2014/P4H4F4	4	NA	Human adenovirus E	NA	NA	NA	HAdV 4a2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KY996446.1	130308	NA	Homo sapiens	NA	USA: New York	NA	2015-01-29	HAdV-E/USA/3477/2015/P4H4F4	4	NA	Human adenovirus E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KX384945.1	28280	NA	Homo sapiens	NA	USA: Fort Jackson, SC	NA	2002-11-25	T158/Ft Jackson South Carolina USA/2002	4	NA	Human adenovirus 4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AY599835.1	28280	NA	NA	NA	USA: Ft. Jackson	NA	NA	NHRC 42606	4	NA	Human adenovirus type 4	NA	NA	NA	US Army field strain	NA	NA	NA	isolation date 4/2/03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AY337244.1	28280	27.10206.AV4.GL.98	NA	NA	NA	NA	NA	NA	NA	NA	Human adenovirus type 4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KM659130.1	130308	Pan troglodytes 6329	Pan troglodytes	NA	Uganda	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KY704463.1	45659	CU_B15632	Homo sapiens	B3	Thailand	nasopharyngeal aspirate	2015-12-31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KY704356.1	10533	CU-B14909	Homo sapiens	C1	Thailand	nasopharyngeal aspirate	2015-12-31	NA	NA	NA	Human adenovirus C1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KM659131.1	130308	Pan troglodytes 6420	Pan troglodytes	NA	Cote d'Ivoire	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FJ943634.1	45659	NA	Homo sapiens	NA	Germany	NA	2007-02-28	RKI-3827/07	3	NA	Human adenovirus 3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FJ943583.1	45659	NA	Homo sapiens	NA	Germany	NA	2001-10-31	RKI-0273/02	3	NA	Human adenovirus 3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EU867490.1	45659	NA	NA	NA	Germany	NA	2007-02-28	RKI-4145/07	3	NA	Human adenovirus 3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AY337245.1	28280	25.20145.AV4.MCRD.98	NA	NA	NA	NA	NA	NA	NA	NA	Human adenovirus type 4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AF161570.1	10541	NA	NA	NA	NA	NA	NA	Ad 11, prototype	NA	NA	Human adenovirus type 11	NA	NA	NA	subgenus B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KY704415.1	45659	CU-B19494	Homo sapiens	B3	Thailand	nasopharyngeal aspirate	2015-12-31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FJ025921.1	585091	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FJ025920.1	585064	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FJ025919.1	585092	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FJ943630.1	45659	NA	Homo sapiens	NA	Germany	NA	2007-02-28	RKI-3591/07	3	NA	Human adenovirus 3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AY530877.1	35266	NA	NA	NA	NA	NA	NA	ATCC VR-592	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EU867487.1	45659	NA	NA	NA	Germany	NA	2007-02-28	RKI-3723/07	3	NA	Human adenovirus 3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP014853.1	1643781	NA	Homo sapiens	NA	USA	NA	2003-12-31	NHRC_90870	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP014852.1	1643781	NA	Homo sapiens	NA	USA	NA	1999-12-31	NHRC_90255	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KY996447.1	130308	NA	Homo sapiens	NA	USA: New York	NA	2015-02-03	HAdV-E/USA/4054/2015/P4H4F4	4	NA	Human adenovirus E	NA	NA	NA	HAdV 4p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MF002043.1	130308	HAdVE/USA_New Jersey/RU2533/1966/P4H4F4	Homo sapiens	NA	USA	NA	1965-12-31	NA	4	NA	Human adenovirus E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KX384957.1	28280	NA	Homo sapiens	NA	USA: New York	NA	1980-12-31	V1003/New York USA/1981	4	NA	Human adenovirus 4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KX384950.1	28280	NA	Homo sapiens	NA	USA: Minnesota	NA	1970-12-31	RU7872/Minnesota USA/1971	4	NA	Human adenovirus 4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KX384949.1	28280	NA	Homo sapiens	NA	USA: Fort Leonard Wood, Missouri	NA	1952-12-31	RI-67 (ATCC VR-1572)	4	NA	Human adenovirus 4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KX384948.1	28280	NA	Homo sapiens	NA	USA: New Jersey	NA	1965-12-31	RDU2954/New Jersey USA/1966	4	NA	Human adenovirus 4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KX384947.1	28280	NA	Homo sapiens	NA	Egypt	NA	1967-12-31	RU4445/Egypt/1968	4	NA	Human adenovirus 4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KX384946.1	28280	NA	Homo sapiens	NA	USA: Georgia	NA	1985-12-31	V2029E/Georgia USA/1986	4	NA	Human adenovirus 4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EF371058.2	130308	NHRC90339	NA	NA	USA: Cape May, DE	NA	NA	NA	NA	NA	Human adenovirus E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FJ025922.1	585072	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAdV-38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FJ943590.1	45659	NA	Homo sapiens	NA	Germany	NA	2001-12-31	RKI-0950/02	3	NA	Human adenovirus 3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EU867489.1	45659	NA	NA	NA	Germany	NA	2007-02-28	RKI-4011/07	3	NA	Human adenovirus 3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB330085.1	28280	NA	NA	NA	NA	NA	NA	RI-67	NA	NA	Human adenovirus 4	NA	NA	NA	synonym: Human adenovirus type 4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AY487947.1	130308	NA	NA	NA	NA	NA	NA	vaccine (CL 68578)	human adenovirus 4	NA	Human adenovirus E	NA	NA	NA	NA	NA	NA	HAdV-4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HAdV-E	NA
AY337239.1	28280	31.275.AV4.V.GL.97	NA	NA	NA	NA	NA	NA	NA	NA	Human adenovirus type 4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AY594254.1	28280	NA	NA	NA	NA	NA	NA	NA	4	NA	Human adenovirus type 4	NA	NA	NA	vaccine strain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AF065063.3	28280	NA	NA	NA	NA	NA	NA	CL 68578	NA	NA	Human adenovirus type 4	NA	NA	NA	vaccine strain	NA	NA	NA	NA	NA	NA	0.51-0.60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AF065062.2	28280	NA	NA	NA	NA	NA	NA	RI-67	NA	NA	Human adenovirus type 4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.51-0.60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AF161574.1	10522	NA	NA	NA	NA	NA	NA	Ad 35, prototype	NA	NA	Human adenovirus type 35	NA	NA	NA	subgenus B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AF161573.1	10548	NA	NA	NA	NA	NA	NA	Ad 34, prototype	NA	NA	Human adenovirus type 34	NA	NA	NA	subgenus B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AF161571.1	10521	NA	NA	NA	NA	NA	NA	Ad 14, prototype	NA	NA	Human adenovirus type 14	NA	NA	NA	subgenus B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AY594253.1	28280	NA	NA	NA	NA	NA	NA	RI-67	4	NA	Human adenovirus type 4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EU513209.1	108098	BJF1721	NA	NA	China	NA	NA	NA	3	NA	Human adenovirus B	NA	NA	HAdV-B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AJ749861.1	107462	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KY969074.1	10515	CU_B2529	Homo sapiens	C2	Thailand	feces	2016-01-31	NA	NA	NA	Human adenovirus C2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KC570906.1	45659	NA	Homo sapiens	NA	Taiwan	NA	2003-01-07	N78/TW/03	NA	NA	Adenovirus 3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KC570876.1	45659	NA	Homo sapiens	NA	Taiwan	NA	2005-03-15	N725/TW/05	NA	NA	Adenovirus 3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EU513210.1	108098	BJF2279	NA	NA	China	NA	NA	NA	3	NA	Human adenovirus B	NA	NA	HAdV-B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EU867488.1	45659	NA	NA	NA	Germany	NA	2007-02-28	RKI-3825/07	3	NA	Human adenovirus 3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EU867456.1	45659	NA	NA	NA	Germany	NA	2002-01-31	RKI-1332/02	3	NA	Human adenovirus 3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JN254802.1	1123958	NA	Pan troglodytes	NA	NA	NA	1968-12-31	NA	NA	NA	NA	NA	William D. Hillis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FJ025924.1	585073	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAdV-39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EU513211.1	108098	BJH9049	NA	NA	China	NA	NA	NA	3	NA	Human adenovirus B	NA	NA	HAdV-B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KC570877.1	45659	NA	Homo sapiens	NA	Taiwan	NA	2009-11-30	N8630/TW/09-2	NA	NA	Adenovirus 3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KC570875.1	45659	NA	Homo sapiens	NA	Taiwan	NA	2002-11-17	N3706/TW/02	NA	NA	Adenovirus 3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FJ943586.1	45659	NA	Homo sapiens	NA	Germany	NA	2001-11-30	RKI-0602/02	3	NA	Human adenovirus 3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AF394196.1	175567	NA	NA	NA	NA	NA	NA	Pan 9; CV68	NA	NA	NA	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AF542122.1	28280	NA	NA	NA	NA	NA	NA	KNIH Ad00/6	4	NA	Human adenovirus 4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FJ025917.1	585070	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EU867477.1	45659	NA	NA	NA	Germany	NA	2006-07-31	RKI-3832/06	3	NA	Human adenovirus 3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X84646.1	28280	RI-67 (ATCC)	NA	NA	NA	NA	NA	NA	NA	NA	Human adenovirus 4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	approx. 0.51-0.60	virions isolated from HeLa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KC747647.1	10548	HAdV34/IC763/10	Homo sapiens	NA	South Korea	NA	2009-12-31	NA	34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AY819908.1	108098	NA	NA	NA	NA	NA	NA	AV-1645	21	NA	Human adenovirus B	NA	NA	HAdV-B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KY969121.1	46921	CU_B3022	Homo sapiens	D13	Thailand	feces	2016-10-31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KP184508.1	108098	Ad-ARP-41Res-2014	Homo sapiens; female	NA	India	throat swab	2014-02-15	NA	21	B	Human Adenovirus B	NA	NA	HAdV-B	NA	Hep-2 cells	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FJ167583.1	10519	8277	NA	NA	Russia: Nizhny Novgorod	NA	2005-12-16	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KC510731.1	45659	YT2011_12-35	Homo sapiens	NA	China	throat swab	2010-12-31	NA	3	NA	Human adenovirus 3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KC510725.1	45659	BJ2011_3-131	Homo sapiens	NA	China	throat swab	2010-12-31	NA	3	NA	Human adenovirus 3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JF713005.1	10519	PUMCH8313	Homo sapiens	NA	China	NA	2009-03-31	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AY819918.1	108098	NA	NA	NA	NA	NA	NA	1184X_93	7	NA	Human adenovirus B	NA	NA	HAdV-B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KX513964.1	714978	NA	Homo sapiens	NA	South Korea	nasopharyngeal or throat swab	2014-03-05	KM-2014-41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KX513962.1	714978	NA	Homo sapiens	NA	South Korea	nasopharyngeal or throat swab	2014-03-02	KM-2014-39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KX513960.1	714978	NA	Homo sapiens	NA	South Korea	nasopharyngeal or throat swab	2014-03-02	KM-2014-37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KX513958.1	714978	NA	Homo sapiens	NA	South Korea	nasopharyngeal or throat swab	2014-02-23	KM-2014-34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KP184509.1	108098	Ad-ARP-55Res-2014	Homo sapiens; female	NA	India	throat swab	2014-03-17	NA	21	B	Human Adenovirus B	NA	NA	HAdV-B	NA	Hep-2 cells	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KF495152.1	10519	NA	Homo sapiens	NA	China: Chongqing	stool	2010-08-18	CQADV024/2010/CHN	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JQ838585.1	10541	CY331	Homo sapiens	NA	China	NA	2010-04-30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN199307.1	10519	NA	Homo sapiens	NA	United Kingdom	NA	2018-03-31	Human\\England\\21.1\\2018\\B7	NA	NA	Human adenovirus B7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
