accver	taxid	country	collection_date
MG696134.1	10519	China	NA
MG696133.1	10519	China	NA
MG696129.1	10519	China	NA
MG696128.1	10519	China	NA
MG923582.1	10519	Russia: Saint Petersburg	2013-09-15
MG923581.1	10519	Russia: Saint Petersburg	2013-09-27
MH355567.1	10519	China	2017-12-31
MH262323.1	10519	USA	2017-02-15
MH262318.1	10519	USA	2016-12-11
KX570682.1	10519	Taiwan	2011-08-31
KX570680.1	10519	Taiwan	2011-06-06
KX570678.1	10519	Taiwan	2011-05-18
KX570677.1	10519	Taiwan	2011-05-16
KX570676.1	10519	Taiwan	2011-04-18
KX570675.1	10519	Taiwan	2011-05-31
KX570674.1	10519	Taiwan	2011-06-10
KX570673.1	10519	Taiwan	2011-05-22
KX570672.1	10519	Taiwan	2011-05-08
KX570671.1	10519	Taiwan	2011-05-15
KX570670.1	10519	Taiwan	2011-06-08
KX570669.1	10519	Taiwan	2011-05-09
KX570668.1	10519	Taiwan	2011-06-24
KX570667.1	10519	Taiwan	2011-05-30
KX570666.1	10519	Taiwan	2011-04-14
KX570665.1	10519	Taiwan	2011-06-29
KX570664.1	10519	Taiwan	2011-06-21
KX570663.1	10519	Taiwan	2011-06-14
KX570662.1	10519	Taiwan	2011-06-06
KX570661.1	10519	Taiwan	2011-06-06
KX570660.1	10519	Taiwan	2011-05-05
KX570659.1	10519	Taiwan	2011-04-25
KX897164.1	10519	China	2014-12-31
KU361344.1	10519	Russia: Volgograd province	2014-03-18
KT963081.1	10519	USA: Oregon	2014-02-18
KP670856.2	10519	China	2011-05-11
KP670855.2	10519	China	2011-07-07
KU351170.2	10519	China	2014-12-31
KP670860.1	10519	China	2012-04-25
KP670858.1	10519	China	2010-07-19
KP670857.1	10519	China	2011-03-08
KM458626.1	10519	China	2012-12-31
KM458622.1	10519	China	2010-12-31
KJ019888.1	10519	China	2011-12-31
KJ019887.1	10519	China	2012-12-31
KJ019886.1	10519	China	2012-12-31
KJ019885.1	10519	China	2011-12-31
KJ019884.1	10519	China	2011-12-31
KJ019883.1	10519	China	2012-12-31
KJ019882.1	10519	China	2011-12-31
KJ019881.1	10519	China	2011-12-31
KJ019880.1	10519	China	2011-12-31
KJ019879.1	10519	China	2012-12-31
KC440171.1	10519	China	2011-03-05
KF268316.1	108098	China: Guangzhou	2011-10-07
KF268314.1	108098	China: Dongguan	2011-03-04
KF268135.1	108098	USA: Iowa	NA
KF268117.1	108098	USA: Iowa	NA
JX625134.1	10519	China	2010-10-31
JX423387.1	108098	USA: Illinios	1997-08-31
JX423383.1	108098	USA: Missouri	2006-03-31
JF800905.1	10519	China: Shaanxi Province	2009-01-07
JQ360620.1	10519	China	2011-07-25
JN860677.1	326124	USA	2008-12-31
GU230898.1	10519	China:Shaanxi Province	2009-01-07
AF053086.1	10519	NA	NA
MG696142.1	10519	China	NA
KC689913.1	10519	China	2012-02-25
KC632596.1	10541	Thailand	2011-08-22
KR303734.1	108098	India	NA
KT069561.1	108098	Democratic Republic of the Congo	NA
KM659161.1	108098	Democratic Republic of the Congo	NA
HQ659699.1	10519	China	2007-10-31
GQ478341.1	10519	China	2008-01-31
AB330088.1	10519	NA	NA
AF065065.3	10519	NA	NA
Z48571.1	10519	NA	NA
AY594255.1	10519	NA	NA
FJ025915.1	585086	NA	NA
AB243009.1	101029	Japan:Kyoto	2003-01-09
KR303735.1	108098	India	NA
KR303737.1	108098	India	NA
KR303738.1	108098	India	NA
KT069556.1	108098	Uganda	NA
FJ025930.1	585080	NA	NA
KC632714.1	10541	Thailand	2010-02-16
FJ025927.1	585096	NA	NA
FJ025914.1	585085	NA	NA
FJ025913.1	585095	NA	NA
X76551.1	10519	NA	NA
AB243118.1	101029	Japan:Osaka	2003-01-09
AB330129.1	39641	NA	NA
EF153473.1	39641	NA	NA
KR303746.1	108098	India	NA
KR303744.1	108098	India	NA
KM677952.1	32608	USA: Ohio	2011-12-31
KM677951.1	32608	USA: Fort Benning, GA	2008-12-31
KM677950.1	32608	USA: Fort Benning, GA	2007-12-31
KM677949.1	32608	USA: MCRD Parris Island, SC	2007-12-31
KM677948.1	32608	USA: MCRD Parris Island, SC	2008-12-31
KM677947.1	32608	USA: MCRD San Diego, CA	2007-12-31
KM677946.1	32608	USA: CGTC Cape May, NJ	2007-12-31
KM677945.1	32608	USA: MCRD Parris Island, SC	2010-12-31
KM677944.1	32608	USA: Fort Leonard Wood, MO	2009-12-31
EF564601.1	459785	NA	NA
EF564600.1	459785	USA	NA
AB330084.1	45659	NA	NA
AY599834.1	45659	NA	NA
AF542125.1	45659	NA	NA
DQ086466.1	45659	NA	NA
KM659165.1	108098	Uganda	NA
JN226751.1	46926	Saudi Arabia	1955-12-31
DQ149622.1	46926	NA	NA
X76549.1	45659	NA	NA
KX083808.1	714978	China	2014-06-30
AB018426.1	10548	NA	NA
KR303736.1	108098	India	NA
KT069550.1	108098	Democratic Republic of the Congo	NA
KM659162.1	108098	Democratic Republic of the Congo	NA
AB330105.1	46926	NA	NA
KX083807.1	714978	China	2014-06-30
U20821.1	39641	NA	NA
KX083809.1	714978	China	2015-06-30
JN226763.1	46939	USA	1981-12-31
AB330125.1	46939	NA	NA
DQ149637.1	46939	NA	NA
KM659168.1	108098	Uganda	NA
MG000754.1	714978	Argentina	2000-09-18
MG000747.1	714978	Argentina	2004-02-06
MG000743.1	714978	Argentina	2005-03-20
MG000741.1	714978	Argentina	2005-03-09
MG000731.1	714978	Argentina	2005-04-25
MG000730.1	714978	Argentina	2005-04-24
MG000726.1	714978	Argentina	2004-03-07
